firstname,lastname,ssn,mciid,county,dobyy,dobmm,dobdd,suffix,referralid,referraltype,dob,dt_referral
JOHN,HERNANDEZ,660744812.0,13657.0,11,1987.0,5.0,19.0,,U012656,GPS,1987-05-19,2020-01-28
CATHERINE,KING,359031867.0,1609.0,10,1990.0,2.0,21.0,,U000608,CPS,1990-02-21,2019-05-17
ARTHUR,MBORENO,361367933.0,7940.0,48,1986.0,9.0,25.0,,B027017,GPS,1986-09-25,2020-03-22
MARILYN,GOME,289184848.0,52776.0,66,1967.0,5.0,12.0,,B021779,GPS,1967-05-12,2021-10-06
TAMES,RODRIGUEZ,842638156.0,51106.0,60,1993.0,6.0,16.0,,B044918,CPS,1993-06-16,2018-12-03
DOROTHY,MARSHALL,373252585.0,1771.0,20,1978.0,6.0,22.0,3.0,U000770,GPS,1978-06-22,2022-04-17
KENNETH,MEDINA,483625635.0,15795.0,5,1969.0,1.0,17.0,,U014794,GPS,1969-01-17,2019-08-16
CHRISTOPHER,SANCHEZ,813458458.0,,31,1995.0,9.0,10.0,,B034491,CPS,1995-09-10,2021-09-24
RACHEL,BURNS,,81570.0,57,1975.0,6.0,15.0,,B021421,CPS,1975-06-15,2018-02-06
DONNA,SMITH,184476224.0,6529.0,2,1997.0,5.0,24.0,,U005528,GPS,1997-05-24,2019-07-10
RUTH,GONZALEZ,846199823.0,11266.0,38,1960.0,12.0,12.0,,U010265,CPS,1960-12-12,2019-10-20
KIMBERLY,CARLSON,236988149.0,67390.0,58,1977.0,1.0,28.0,,B073128,CPS,1977-01-28,2022-07-26
FLEMING,MATTHEW,442385777.0,29811.0,24,1996.0,12.0,26.0,,B024812,GPS,1996-12-26,2018-11-07
RONALD,COLLINS,,69244.0,48,2002.0,7.0,27.0,,B026434,GPS,2002-07-27,2021-03-01
LINDA,OLSON,996254105.0,88677.0,2,1995.0,6.0,22.0,,B003117,GPS,1995-06-22,2020-04-24
SSUAN,MARTINEZ,896074735.0,57647.0,22,1969.0,7.0,23.0,,B018387,GPS,1969-07-23,2019-05-25
DAVID,CRAWFORD,920265944.0,92873.0,12,1984.0,6.0,20.0,,B014813,CPS,1984-06-20,2020-01-09
RICHARD,NELSON,,100587.0,66,2002.0,9.0,6.0,,B061837,GPS,2002-09-06,2020-02-16
RICHAARD,BURNS,808096342.0,12106.0,67,1962.0,3.0,15.0,,B074630,CPS,1962-03-15,2021-07-05
ROBERT,JIMENEZ,606751222.0,4675.0,35,1982.0,11.0,2.0,,U003674,GPS,1982-11-02,2021-02-07
WILLIAMS,NICOLE,618797549.0,54239.0,21,1994.0,8.0,14.0,,B036887,GPS,1994-08-14,2018-02-03
BETTY,NICHOLS,870058218.0,2895.0,37,1977.0,11.0,19.0,,U001894,CPS,1977-11-19,2019-09-17
AARYON,MARTINEZ,266441869.0,25075.0,37,1973.0,5.0,2.0,,B028650,GPS,1973-05-02,2018-01-11
SZACHARY,ROBINSON,818014884.0,15591.0,66,1979.0,1.0,15.0,,B049090,CPS,1979-01-15,2019-01-25
PATRICIA,HARRIS,260317259.0,68229.0,43,2000.0,1.0,8.0,1.0,B075921,CPS,2000-01-08,2020-01-03
DIAA,MARSHALL,733789520.0,51624.0,30,1965.0,12.0,2.0,,B078180,GPS,1965-12-02,2018-05-05
RONALD,MILLER,621549734.0,4757.0,3,1975.0,5.0,23.0,,U003756,CPS,1975-05-23,2020-08-08
VINCENT,ALVAREZ,154519919.0,90736.0,51,1962.0,8.0,9.0,,B071365,GPS,1962-08-09,2020-11-04
MARTHA,DIAR,640355545.0,13799.0,40,1970.0,3.0,6.0,,B035988,GPS,1970-03-06,2021-12-28
PTRICIA,STEWART,580521166.0,7180.0,18,1996.0,8.0,10.0,,B038267,GPS,1996-08-10,2018-03-03
JOHN,YNCH,431175735.0,85505.0,14,2001.0,5.0,15.0,2.0,B080509,CPS,2001-05-15,2020-08-17
NATHAN,CRUZ,813125997.0,4946.0,64,1964.0,6.0,8.0,,U003945,CPS,1964-06-08,2021-06-06
KIMBERLY,WILSON,920692622.0,100785.0,67,1991.0,2.0,14.0,,B015257,CPS,1991-02-14,2021-06-24
ELIZABETH,GARCIA,211325276.0,41109.0,9,1979.0,10.0,5.0,,B023785,CPS,1979-10-05,2019-05-24
JAMTS,SMITH,338977430.0,27473.0,58,1961.0,11.0,4.0,,B076553,CPS,1961-11-04,2018-10-08
SARAH,TAYLOR,339761857.0,,66,1992.0,7.0,3.0,,B080631,CPS,1992-07-03,2022-08-27
JNENIFER,HERNANDEZ,597231521.0,85100.0,56,1985.0,5.0,19.0,,B048334,CPS,1985-05-19,2022-06-09
JAMES,ARMIREZ,884488241.0,78111.0,27,1984.0,2.0,13.0,2.0,B000590,CPS,1984-02-13,2020-04-21
DOUGLAOS,GOMEZ,338528421.0,2682.0,20,1987.0,11.0,13.0,,B022021,GPS,1987-11-13,2022-07-24
GEORGE,AJMES,278319505.0,38901.0,15,1983.0,3.0,23.0,,B059400,CPS,1983-03-23,2020-06-18
LAWRENCE,PETERSON,105474005.0,65021.0,42,2003.0,4.0,11.0,,B042324,CPS,2003-04-11,2019-01-15
JAMES,SMITH,330437886.0,66878.0,54,2000.0,4.0,4.0,,B009541,CPS,2000-04-04,2019-01-27
WIULIAM,PALMER,230860752.0,95483.0,26,1962.0,9.0,6.0,,B039631,GPS,1962-09-06,2018-11-12
JENPIFER,SANDERS,673485188.0,9657.0,55,1961.0,1.0,20.0,,B063088,CPS,1961-01-20,2022-08-11
JESSE,DAAZ,404036419.0,56128.0,51,1991.0,12.0,3.0,,B046933,CPS,1991-12-03,2018-08-10
MARTHA,CRAWFORD,357243392.0,12874.0,35,1987.0,5.0,8.0,,U011873,CPS,1987-05-08,2020-04-14
LISA,EVOANS,925050069.0,79217.0,2,1991.0,3.0,18.0,,B018571,CPS,1991-03-18,2019-11-05
JOHN,MOORFE,248715814.0,86785.0,12,1962.0,12.0,11.0,,B023517,CPS,1962-12-11,2022-12-01
NICOLE,HERNANDEZ,548350706.0,11745.0,47,1971.0,7.0,17.0,,U010744,CPS,1971-07-17,2019-12-07
JOHN,WALKER,,34162.0,57,2001.0,6.0,7.0,,B065423,CPS,2001-06-07,2020-07-19
JAMES,LOPEZ,918037707.0,28417.0,38,1972.0,12.0,20.0,,B063900,CPS,1972-12-20,2018-02-04
PATRICIA,TAYLOR,198621599.0,7928.0,26,1977.0,7.0,27.0,,B067240,GPS,1977-07-27,2022-07-09
BETTY,PETERS,101734448.0,13479.0,30,1960.0,7.0,2.0,,U012478,GPS,1960-07-02,2018-11-20
ROBERT,BERRY,130017157.0,,24,1995.0,1.0,13.0,2.0,B060080,GPS,1995-01-13,2019-06-15
ADAMS,KELLY,312696028.0,31925.0,13,1986.0,9.0,22.0,,B080473,GPS,1986-09-22,2021-03-11
CHARLES,BAILEY,102644100.0,45844.0,67,1986.0,3.0,24.0,,B046482,CPS,1986-03-24,2019-08-14
DEBRA,SMITH,565522096.0,,4,1983.0,6.0,4.0,,B071872,CPS,1983-06-04,2019-03-22
MARY,LEE,228677468.0,21042.0,47,1967.0,9.0,22.0,,B030023,CPS,1967-09-22,2020-06-01
GONZALEZ,EMILY,528365983.0,53161.0,6,1982.0,6.0,15.0,,B064086,GPS,1982-06-15,2022-06-19
MATTHEW,JOHNSON,212028659.0,1908.0,22,1968.0,9.0,5.0,,U000907,CPS,1968-09-05,2022-07-13
ASTIN,CLARK,233669171.0,47242.0,28,1985.0,9.0,6.0,,B014784,CPS,1985-09-06,2018-02-19
NGUYEN,JEFFREY,395449238.0,24290.0,52,1961.0,10.0,7.0,,B079619,CPS,1961-10-07,2018-04-18
SANDRA,WARD,800930078.0,73115.0,21,1998.0,7.0,28.0,,B007319,CPS,1998-07-28,2022-10-17
HERNY,HERNANDEZ,660537031.0,31742.0,40,2002.0,11.0,25.0,,B013039,GPS,2002-11-25,2018-04-01
DEAN,MARY,957454957.0,25243.0,17,1984.0,2.0,8.0,,B010093,GPS,1984-02-08,2019-09-26
JAMES,SIMTH,359325960.0,92596.0,13,1996.0,1.0,6.0,,B002351,GPS,1996-01-06,2020-02-14
JAMES,MARTINEZ,294219398.0,14601.0,56,1976.0,12.0,25.0,,U013600,CPS,1976-12-25,2022-02-11
HAWKINS,ROBERT,164785402.0,32864.0,63,1963.0,3.0,13.0,,B006104,CPS,1963-03-13,2019-03-22
CHARLOTTE,GOMEZ,733782000.0,14601.0,5,1967.0,3.0,22.0,3.0,B031248,GPS,1967-03-22,2020-02-19
KAREN,SMITH,935706115.0,,39,1966.0,8.0,14.0,,B045509,CPS,1966-08-14,2019-06-05
JAMES,JOHNTON,277655698.0,97753.0,22,1981.0,12.0,5.0,,B071687,CPS,1981-12-05,2019-04-10
DANIEL,CRUZ,936321438.0,42278.0,30,1967.0,4.0,14.0,,B075425,GPS,1967-04-14,2021-09-23
JAMES,SMITH,855756678.0,3758.0,25,1991.0,12.0,13.0,,B078143,GPS,1991-12-13,2021-09-05
AMBER,JOHNSON,,65016.0,65,1997.0,7.0,19.0,,B060801,CPS,1997-07-19,2021-10-24
VINCEYNT,DAVIS,624022718.0,28489.0,36,2004.0,5.0,24.0,,B069339,CPS,2004-05-24,2018-03-23
JOHN,SMITH,659574912.0,87611.0,37,1992.0,1.0,17.0,,B062380,GPS,1992-01-17,2020-07-16
MARK,MYERS,499506075.0,13572.0,35,1960.0,5.0,14.0,,U012571,GPS,1960-05-14,2019-11-11
TERRY,BLAKE,720344057.0,14311.0,53,1977.0,8.0,10.0,,U013310,GPS,1977-08-10,2018-01-24
SAMUEL,GONZALEZ,268755928.0,63259.0,30,1973.0,7.0,21.0,,B032455,CPS,1973-07-21,2020-09-10
VIRGINIA,COLEMAN,991072915.0,67133.0,6,1977.0,2.0,15.0,,B041223,CPS,1977-02-15,2018-03-22
PETCR,CHEN,612419403.0,1361.0,61,1995.0,12.0,25.0,,B069256,CPS,1995-12-25,2021-09-02
DANIEL,HARRISBON,260425623.0,14201.0,50,1984.0,2.0,14.0,,B055080,CPS,1984-02-14,2020-06-06
ADAM,ADAMS,899869983.0,2801.0,36,1960.0,12.0,23.0,,B028316,CPS,1960-12-23,2019-11-11
FLEMING,BENJAMIN,597393072.0,85536.0,38,1985.0,8.0,15.0,,B026317,GPS,1985-08-15,2019-06-13
CAROLYN,ANDERSON,834427298.0,9090.0,67,1999.0,9.0,5.0,,B049226,CPS,1999-09-05,2020-08-13
STEPHANIPE,ROMERO,298796157.0,37836.0,35,1967.0,6.0,8.0,,B028458,CPS,1967-06-08,2018-05-27
CASTRO,PATRICIA,369858162.0,81914.0,7,1984.0,9.0,5.0,,B000378,GPS,1984-09-05,2020-03-17
EMILGY,PORTER,627025264.0,32255.0,42,1994.0,3.0,28.0,,B059982,CPS,1994-03-28,2019-10-20
CHRISTOPHER,PERES,254980759.0,48284.0,49,2003.0,1.0,13.0,,B074664,CPS,2003-01-13,2022-07-07
SANDEA,HERNANDEZ,915687414.0,7145.0,56,1961.0,8.0,1.0,,B050563,CPS,1961-08-01,2019-08-16
CHERYL,KING,386522616.0,37612.0,28,1979.0,3.0,9.0,,B074402,CPS,1979-03-09,2022-08-27
DOROTHY,HAYNES,101457466.0,59227.0,44,1999.0,10.0,9.0,,B025197,GPS,1999-10-09,2018-09-09
ROBERT,BROWN,444141277.0,54650.0,7,1976.0,10.0,7.0,,B018838,GPS,1976-10-07,2021-08-27
JAMES,MILLER,190858070.0,9994.0,14,2004.0,1.0,26.0,,U008993,CPS,2004-01-26,2019-09-05
JAMES,LYONS,987341739.0,23344.0,61,1974.0,11.0,5.0,,B056640,GPS,1974-11-05,2018-02-19
PAUL,RICE,903355296.0,3666.0,24,2001.0,11.0,11.0,,U002665,CPS,2001-11-11,2020-12-05
CAROL,JONES,760429355.0,78967.0,12,1991.0,7.0,7.0,2.0,B061101,CPS,1991-07-07,2018-11-26
DAVID,GARCIL,453606053.0,51489.0,38,1980.0,10.0,28.0,,B076297,GPS,1980-10-28,2022-11-08
GARZY,WALKER,472263856.0,21606.0,59,1997.0,5.0,26.0,,B000103,GPS,1997-05-26,2021-07-15
ROBVERT,LEWIS,217164304.0,79746.0,14,1972.0,11.0,19.0,,B006658,GPS,1972-11-19,2018-08-23
MORALES,RAY,945721088.0,29175.0,35,1961.0,4.0,24.0,,B058878,GPS,1961-04-24,2022-09-16
JOHN,RODRIGUEZ,506781825.0,,62,1965.0,11.0,6.0,,B012526,GPS,1965-11-06,2019-02-13
JAMES,KNIGHT,198003974.0,15809.0,12,1994.0,11.0,12.0,,B081913,GPS,1994-11-12,2019-07-20
SARAH,MURPHY,777247632.0,72161.0,38,1967.0,1.0,21.0,,B066289,GPS,1967-01-21,2021-11-20
BRANDON,PERRY,846946100.0,46371.0,41,1983.0,7.0,10.0,,B024038,CPS,1983-07-10,2022-07-04
BETTY,WRIGHT,374276789.0,21785.0,37,2003.0,9.0,27.0,,B027435,GPS,2003-09-27,2022-10-24
JENNIFER,JONES,402941882.0,59585.0,10,1974.0,8.0,1.0,,B009826,GPS,1974-08-01,2018-12-14
KIMBERLY,SIMPSON,935784529.0,38751.0,58,1980.0,8.0,10.0,,B022809,GPS,1980-08-10,2020-10-17
SEAN,SANCEHZ,993209007.0,66442.0,44,2001.0,7.0,11.0,,B028046,GPS,2001-07-11,2018-10-05
MARY,NELSON,242019567.0,25843.0,65,1976.0,9.0,15.0,,B068605,GPS,1976-09-15,2018-03-14
MARY,WILSON,365454539.0,87396.0,22,1969.0,10.0,10.0,,B021107,CPS,1969-10-10,2022-05-05
MILLER,LINDA,849888279.0,15207.0,58,1987.0,5.0,4.0,,B072857,GPS,1987-05-04,2019-01-08
BEVERLY,ROMERO,225395887.0,23909.0,10,1973.0,12.0,6.0,,B053971,GPS,1973-12-06,2020-05-16
ROBERT,MILLER,517051855.0,75601.0,16,1962.0,2.0,7.0,,B030211,CPS,1962-02-07,2022-03-11
LINDA,BROWN,235275995.0,13966.0,3,1971.0,6.0,10.0,,U012965,CPS,1971-06-10,2021-03-06
KIMBERLY,JONES,684301413.0,12150.0,24,1973.0,9.0,16.0,,B010240,GPS,1973-09-16,2022-09-28
DAVID,JOHNSON,125799297.0,81006.0,55,1963.0,12.0,24.0,,B036780,CPS,1963-12-24,2020-10-01
JAMES,SMITH,117767116.0,16941.0,13,1966.0,10.0,23.0,,B007208,CPS,1966-10-23,2022-09-11
DONNA,SCOTT,207283004.0,23796.0,26,1983.0,8.0,26.0,,B043672,GPS,1983-08-26,2020-12-01
KEIJH,WAGNER,525718881.0,67055.0,40,1974.0,1.0,12.0,,B068532,GPS,1974-01-12,2019-05-28
ANNA,MILLER,439457877.0,13368.0,63,2003.0,1.0,18.0,,U012367,GPS,2003-01-18,2021-10-04
JON,BAILEY,466322949.0,72345.0,32,1993.0,2.0,16.0,,B052881,CPS,1993-02-16,2020-08-08
PAMELA,WARREN,,49035.0,28,1982.0,3.0,18.0,,B000312,GPS,1982-03-18,2022-10-24
JATMES,SMITH,966502414.0,73816.0,20,1975.0,11.0,3.0,,B071408,CPS,1975-11-03,2022-10-04
PHIIP,CHAVEZ,892551447.0,95862.0,27,2002.0,1.0,21.0,,B065060,GPS,2002-01-21,2021-03-23
MARY,LOPEZ,685131331.0,54415.0,29,1998.0,7.0,18.0,,B083474,CPS,1998-07-18,2019-02-15
KAREN,LEE,,52174.0,54,1974.0,6.0,8.0,,B043941,CPS,1974-06-08,2021-12-25
TIMOTHY,RMAOS,534085799.0,55529.0,34,1991.0,10.0,1.0,,B010684,CPS,1991-10-01,2020-01-05
KEVIN,SMITH,680559017.0,2536.0,1,1998.0,4.0,26.0,,U001535,GPS,1998-04-26,2019-11-11
JEFFREY,RAMIREZ,115849508.0,6636.0,23,2004.0,10.0,3.0,,U005635,CPS,2004-10-03,2018-04-03
MATTHWE,THOMPSON,213227999.0,100029.0,58,1964.0,12.0,11.0,,B009354,CPS,1964-12-11,2020-09-09
NATHAN,LOPEZ,616530389.0,90078.0,46,1965.0,9.0,28.0,,B021830,GPS,1965-09-28,2021-01-01
LINDA,DOUGLAS,611316427.0,,17,1977.0,11.0,22.0,,B072399,CPS,1977-11-22,2022-02-11
PAUL,SMITH,232910420.0,1230.0,20,1996.0,8.0,1.0,,U000229,GPS,1996-08-01,2021-04-21
ELIZABETH,RODRIGUEZ,127969656.0,33270.0,51,1983.0,5.0,15.0,,B029694,CPS,1983-05-15,2021-01-16
ABGAIL,SMITH,610694573.0,56758.0,44,2004.0,2.0,14.0,3.0,B021212,GPS,2004-02-14,2018-03-08
MARY,JOHNSON,958917101.0,60394.0,55,1971.0,11.0,6.0,,B027252,GPS,1971-11-06,2021-01-18
JOHN,MILLER,905705372.0,91223.0,48,1982.0,9.0,2.0,,B079425,GPS,1982-09-02,2019-07-14
CRAWFORD,PATRICIA,966835131.0,90853.0,13,2004.0,4.0,20.0,,B026318,GPS,2004-04-20,2019-10-19
QMARY,LEWIS,371002093.0,71114.0,27,1998.0,7.0,10.0,,B064126,CPS,1998-07-10,2022-05-17
ANNA,WATSON,207129935.0,6156.0,18,1994.0,2.0,2.0,,U005155,CPS,1994-02-02,2022-09-07
PATRICIA,SMITH,177523302.0,8403.0,64,1970.0,1.0,14.0,,B008378,GPS,1970-01-14,2020-04-06
KIMBERLY,HERNANDEZ,293128550.0,10854.0,15,1980.0,4.0,20.0,,B047334,CPS,1980-04-20,2021-02-23
GARZA,JAMES,821737193.0,57216.0,1,1992.0,7.0,10.0,,B041872,CPS,1992-07-10,2021-07-23
ANTHONY,GONZALEZ,,38785.0,22,1970.0,5.0,11.0,3.0,B008781,CPS,1970-05-11,2022-09-12
EDWARD,JOHSNON,771092129.0,79158.0,2,1984.0,2.0,26.0,,B037233,CPS,1984-02-26,2020-12-12
JUBIE,ANDERSON,949070502.0,11638.0,60,1995.0,8.0,2.0,,B084764,GPS,1995-08-02,2018-09-07
RICHARD,LEE,182121964.0,76946.0,47,1983.0,6.0,3.0,,B084898,CPS,1983-06-03,2018-03-10
JOHN,WARD,958250835.0,70380.0,39,2002.0,1.0,28.0,,B068253,GPS,2002-01-28,2021-08-11
ROBERET,GARCIA,571706685.0,71807.0,67,1999.0,12.0,8.0,,B062616,GPS,1999-12-08,2021-04-05
THOMAS,TORES,313147863.0,10464.0,58,2002.0,2.0,10.0,3.0,B075625,CPS,2002-02-10,2018-04-05
WILLIAMS,IVAN,535140946.0,50934.0,18,1966.0,10.0,21.0,,B053500,GPS,1966-10-21,2019-04-18
FRANK,PEREZ,435253002.0,97616.0,16,1994.0,6.0,2.0,,B048530,GPS,1994-06-02,2022-05-17
RICHARDSON,KENNETH,527462737.0,95381.0,44,1960.0,4.0,19.0,,B032416,CPS,1960-04-19,2022-08-12
ANDREW,NELSON,620056551.0,15076.0,62,1987.0,12.0,24.0,,U014075,GPS,1987-12-24,2021-09-09
KREN,ROGERS,448290482.0,59797.0,43,1996.0,3.0,16.0,,B032182,CPS,1996-03-16,2022-05-07
BARKER,VINCENT,485949810.0,46453.0,67,1994.0,10.0,22.0,,B064552,CPS,1994-10-22,2019-03-10
JAMES,HERNANDEZ,533205199.0,12172.0,1,1966.0,2.0,12.0,,B048421,CPS,1966-02-12,2022-07-27
JEFFREY,SMITH,721052543.0,40855.0,44,1967.0,12.0,28.0,,B010776,CPS,1967-12-28,2018-09-25
ROY,HARRIS,,37809.0,27,1993.0,10.0,16.0,,B074321,CPS,1993-10-16,2020-01-12
ALICK,MILLER,393513553.0,1601.0,31,1981.0,1.0,19.0,,B016051,CPS,1981-01-19,2021-01-06
RAXDY,WOLFE,559639113.0,54451.0,7,1979.0,3.0,3.0,,B020796,GPS,1979-03-03,2019-08-12
DANIEL,DAVIS,342797096.0,19686.0,37,1965.0,10.0,4.0,,B054647,GPS,1965-10-04,2019-11-02
SUSAN,LOPEZ,654834910.0,6480.0,8,1967.0,11.0,22.0,,B027084,GPS,1967-11-22,2019-04-02
JAMES,BAILEY,253746649.0,81432.0,47,1970.0,2.0,12.0,,B013868,GPS,1970-02-12,2022-02-27
NICHOLAS,CARLSON,313897609.0,,64,2002.0,2.0,22.0,,B076418,CPS,2002-02-22,2019-11-07
SHIREY,MURPHY,787643228.0,76620.0,37,1995.0,6.0,6.0,,B022321,CPS,1995-06-06,2022-06-18
PHILIP,GANDERSON,912862288.0,18750.0,24,1985.0,4.0,7.0,,B019390,CPS,1985-04-07,2020-09-25
BRUCE,WALKER,682117118.0,14308.0,53,1972.0,5.0,12.0,,U013307,CPS,1972-05-12,2022-07-22
DAVGID,WHITE,850193232.0,74207.0,39,1975.0,1.0,14.0,,B050671,CPS,1975-01-14,2018-09-28
ANDREW,BAILY,942715112.0,45981.0,24,1974.0,8.0,5.0,,B022637,GPS,1974-08-05,2021-05-06
MICXHAEL,SMITH,285040163.0,93957.0,39,1965.0,7.0,19.0,2.0,B012714,GPS,1965-07-19,2020-05-03
GRVCE,WILLIAMS,955626760.0,56899.0,35,2004.0,12.0,21.0,,B081164,GPS,2004-12-21,2019-04-17
DONNA,VARGAS,874194695.0,,35,1977.0,7.0,1.0,,B055434,CPS,1977-07-01,2021-09-08
GUTIERREZ,JANET,426512138.0,57487.0,31,1999.0,10.0,5.0,,B012898,CPS,1999-10-05,2022-11-28
JAMES,WASHINGTON,953764580.0,,23,1983.0,4.0,28.0,,B004128,GPS,1983-04-28,2018-11-01
INCHOLAS,ALLEN,831720098.0,35212.0,53,1986.0,10.0,3.0,,B054825,GPS,1986-10-03,2019-03-14
JERRY,NGUYEN,508660396.0,8085.0,22,1990.0,11.0,15.0,,U007084,GPS,1990-11-15,2021-05-14
CARY,KELLY,968096873.0,94977.0,16,1983.0,4.0,15.0,,B022918,CPS,1983-04-15,2018-02-13
HENRY,COX,456162482.0,30293.0,59,1974.0,5.0,25.0,,B072057,GPS,1974-05-25,2020-11-12
CARLOS,RPOSS,284928630.0,19412.0,21,1975.0,7.0,2.0,,B003208,GPS,1975-07-02,2019-08-20
CHRISTOPHER,WILLIAMS,230621908.0,95045.0,60,1994.0,4.0,3.0,,B034287,CPS,1994-04-03,2018-04-10
CHRISTINR,ROBINSON,966858585.0,43909.0,60,1996.0,4.0,15.0,,B043287,GPS,1996-04-15,2019-06-22
GSARAH,HALL,369499560.0,65486.0,16,2002.0,1.0,25.0,,B016949,GPS,2002-01-25,2019-02-08
STONE,SHARON,194587040.0,47274.0,8,1978.0,4.0,2.0,,B083815,CPS,1978-04-02,2022-05-06
JESSICA,HARRIS,160647397.0,98894.0,32,2000.0,7.0,17.0,,B062161,CPS,2000-07-17,2020-12-21
JAMES,WOLFE,721214426.0,17350.0,54,1995.0,11.0,11.0,,B066448,GPS,1995-11-11,2019-09-02
ELIZABETH,MARTINEFZ,759959663.0,1387.0,4,1989.0,5.0,5.0,,B019066,GPS,1989-05-05,2019-12-20
JAMES,JONES,986831967.0,38869.0,24,1980.0,7.0,20.0,,B081809,GPS,1980-07-20,2019-07-10
BXTTY,JONES,957191730.0,23550.0,49,1963.0,6.0,4.0,,B030258,CPS,1963-06-04,2018-08-04
HERNANDEZ,MARGARET,649430917.0,55738.0,34,1984.0,2.0,7.0,2.0,B065558,CPS,1984-02-07,2021-07-27
HEATHER,RODRIGUEZ,230421896.0,4166.0,39,1980.0,8.0,17.0,,U003165,CPS,1980-08-17,2019-10-13
GEORGE,WILLIAMS,700796055.0,89534.0,22,2000.0,7.0,3.0,,B008965,GPS,2000-07-03,2019-04-26
ROBERT,ROSS,601692165.0,71697.0,7,1963.0,9.0,11.0,,B028862,GPS,1963-09-11,2022-03-17
BARBARA,NELSON,622155282.0,82634.0,32,1990.0,6.0,10.0,,B075366,GPS,1990-06-10,2021-01-27
IPAMELA,SPENCER,552148194.0,83897.0,14,1996.0,8.0,1.0,,B047270,CPS,1996-08-01,2019-05-01
RYAN,NASH,582461338.0,14084.0,7,1992.0,3.0,12.0,,U013083,GPS,1992-03-12,2020-09-28
PATRICIA,PMITH,540348920.0,15535.0,58,1984.0,11.0,18.0,,B029499,GPS,1984-11-18,2019-08-11
JENNIFER,TUCKER,447540196.0,88580.0,20,1977.0,4.0,23.0,,B059017,GPS,1977-04-23,2020-12-16
ANTHONY,WILLIAMS,540577080.0,2370.0,7,1979.0,2.0,4.0,,U001369,GPS,1979-02-04,2019-08-22
THOMAS,YOUNG,639209748.0,6909.0,43,1993.0,10.0,24.0,,U005908,CPS,1993-10-24,2022-05-02
OSCAR,HERNANDEZ,256330360.0,94636.0,11,1999.0,6.0,1.0,,B057422,CPS,1999-06-01,2021-11-20
MATTHEW,MENDOZA,139964069.0,,49,1977.0,8.0,16.0,,B012293,GPS,1977-08-16,2022-10-23
DAVID,WATKINS,497448510.0,91605.0,59,1971.0,1.0,27.0,,B076643,GPS,1971-01-27,2022-07-16
GRACE,LEWIS,500370446.0,17856.0,28,1989.0,12.0,14.0,,B041491,CPS,1989-12-14,2022-02-19
JAMES,MAXWELL,202832553.0,5662.0,12,1984.0,7.0,10.0,,U004661,CPS,1984-07-10,2019-07-24
DAVID,BURKE,810376337.0,5128.0,32,1962.0,12.0,10.0,,B062896,GPS,1962-12-10,2019-06-16
ASHDLEY,WALKER,783806188.0,90620.0,43,1964.0,5.0,21.0,,B078523,GPS,1964-05-21,2021-02-06
PATRICK,POWELL,364001243.0,,58,1961.0,12.0,24.0,,B019582,GPS,1961-12-24,2021-09-09
MARY,MILLER,,10979.0,56,1965.0,6.0,28.0,,B069296,GPS,1965-06-28,2020-02-23
CHRISTINA,HENDERSN,360952849.0,33867.0,27,1968.0,10.0,24.0,,B010054,GPS,1968-10-24,2021-09-12
FLORES,DAVID,249032720.0,79056.0,22,1965.0,12.0,10.0,,B077510,CPS,1965-12-10,2021-11-17
CHRISTOPHER,SMITH,361656051.0,8249.0,28,1965.0,12.0,14.0,,U007248,GPS,1965-12-14,2019-11-14
ROBERT,ROBERTS,347647629.0,80766.0,64,1979.0,4.0,25.0,,B061648,CPS,1979-04-25,2021-12-24
BILLY,WILLIAMS,791041036.0,88154.0,41,1973.0,9.0,4.0,,B061905,GPS,1973-09-04,2022-09-21
JENNIFER,FRENANDEZ,636351945.0,83602.0,67,1981.0,12.0,1.0,,B050680,CPS,1981-12-01,2020-10-11
BARBARA,COOPER,608246294.0,95749.0,14,1994.0,2.0,23.0,,B010092,GPS,1994-02-23,2022-04-04
HAROLD,ANDERSON,131252554.0,77156.0,21,1976.0,5.0,3.0,,B046527,GPS,1976-05-03,2021-10-04
MARK,WILLIAMS,340028813.0,5712.0,38,1997.0,5.0,14.0,,U004711,CPS,1997-05-14,2022-05-26
JUSTIN,WILLIAMS,997596425.0,55184.0,32,1990.0,1.0,8.0,,B043080,CPS,1990-01-08,2022-08-14
SARAH,CBOLLINS,806669946.0,22319.0,6,1978.0,12.0,13.0,,B003727,CPS,1978-12-13,2020-10-10
PATRICIA,BAKER,514951792.0,82192.0,35,2004.0,2.0,6.0,,B057420,GPS,2004-02-06,2021-02-25
CRLOS,TAYLOR,507442009.0,70499.0,61,1971.0,10.0,9.0,,B059540,GPS,1971-10-09,2018-09-14
JAMES,CHEN,233986621.0,32000.0,54,1970.0,10.0,22.0,,B070619,CPS,1970-10-22,2019-01-26
BARBARA,RODRIGUEZ,315547864.0,,66,1972.0,12.0,13.0,,B072345,CPS,1972-12-13,2018-06-27
KJOHN,MOORE,403694660.0,47238.0,66,1999.0,3.0,18.0,,B065968,CPS,1999-03-18,2018-04-22
STEPHEN,ROGERS,836696916.0,90625.0,60,1997.0,5.0,15.0,,B015614,GPS,1997-05-15,2022-02-13
RONALD,GONZALEZ,853039379.0,48348.0,32,1987.0,11.0,23.0,,B016624,CPS,1987-11-23,2020-12-17
WILSON,HELEN,611928512.0,8706.0,7,1999.0,4.0,8.0,,B040026,GPS,1999-04-08,2021-04-20
