firstname,lastname,ssn,mciid,county,dobyy,dobmm,dobdd,suffix,referralid,referraltype,dob,dt_referral,true_entity_id,bin1,bin2
FERNAND,NELSON,239897407.0,1006.0,17,1962.0,12.0,26.0,,V772502,CPS,1962-12-26,2022-02-04,5,1,0
TRANG,KING,485208542.0,1251.0,25,1968.0,4.0,19.0,,D000250,CPS,1968-04-19,2019-06-05,250,0,1
KENNETH,FLORES,128155161.0,1120.0,25,1990.0,5.0,19.0,,D000119,GPS,1990-05-19,2022-08-14,119,1,0
CHRISTOPHER,MARTINEZ,647867015.0,1311.0,14,1971.0,11.0,15.0,,D000310,CPS,1971-11-15,2021-02-23,310,0,1
HOANG,SMITH,289311001.0,1300.0,59,1982.0,9.0,12.0,,D000299,GPS,1982-09-12,2021-01-19,299,1,0
STEPHEN,MCDONALD,455506515.0,1256.0,60,2001.0,10.0,9.0,,D000255,GPS,2001-10-09,2018-02-25,255,1,1
ALEJANLRO,SHAW,445001282.0,1170.0,38,1962.0,9.0,7.0,,V566831,CPS,1962-09-07,2022-07-11,169,0,1
MRY,SMITH,769549752.0,1099.0,17,1995.0,3.0,25.0,,V682875,GPS,1995-03-25,2022-05-15,98,1,0
CHIDI,YOON,636142397.0,1226.0,38,1975.0,10.0,4.0,,D000225,GPS,1975-10-04,2019-03-14,225,0,0
JAEMS,GONZALES,525591885.0,1339.0,41,1960.0,12.0,24.0,,V447736,CPS,1960-12-24,2020-05-05,338,1,0
BRUCE,CUNNINGHAM,572730903.0,1235.0,31,1982.0,8.0,27.0,,D000234,CPS,1982-08-27,2021-04-23,234,1,1
RNARK,SMITH,101109756.0,1079.0,57,1971.0,4.0,7.0,,V298117,GPS,1971-04-07,2018-06-02,78,1,0
EDWARD,BARKER,891996122.0,1275.0,9,1961.0,2.0,27.0,,D000274,CPS,1961-02-27,2020-04-13,274,1,0
MARY,ROSS,941188331.0,1037.0,7,1980.0,11.0,10.0,,D000036,GPS,1980-11-10,2019-02-06,36,0,0
EMILY,ZHOU,931749424.0,1197.0,5,1980.0,11.0,12.0,,D000196,CPS,1980-11-12,2021-03-05,196,1,1
JAMES,PHILLIPS,907033334.0,1140.0,26,2004.0,9.0,3.0,,D000139,CPS,2004-09-03,2019-12-12,139,0,0
ADREW,CASTILLO,111222889.0,1247.0,21,1993.0,4.0,10.0,,V165737,GPS,1993-04-10,2022-03-23,246,1,1
ANDREW,SMITH,563124746.0,1245.0,45,1964.0,8.0,10.0,1.0,D000244,GPS,1964-08-10,2018-09-28,244,1,1
FENG,MARSHALL,347354354.0,1082.0,44,1983.0,12.0,23.0,,V816136,GPS,1983-12-23,2021-05-01,81,1,0
JAMES,CHAVEZ,499945440.0,1287.0,22,1975.0,5.0,15.0,,D000286,CPS,1975-05-15,2020-11-23,286,1,1
MARY,POTTER,799765415.0,1060.0,56,1980.0,11.0,26.0,,D000059,CPS,1980-11-26,2019-05-12,59,1,0
ROBERT,WANG,142636617.0,1112.0,19,1962.0,3.0,25.0,,D000111,CPS,1962-03-25,2019-09-12,111,1,0
LISA,SHARMA,306116428.0,1090.0,9,1976.0,6.0,22.0,,D000089,GPS,1976-06-22,2018-03-22,89,1,0
JENIFER,BARNES,927918100.0,1267.0,44,1996.0,3.0,14.0,,V674140,CPS,1996-03-14,2021-10-18,266,0,0
EMMA,GRAHAM,886882928.0,1007.0,44,1983.0,12.0,16.0,,D000006,GPS,1983-12-16,2021-03-21,6,1,0
HUI,JONES,875691437.0,1166.0,56,1965.0,4.0,27.0,,V311908,CPS,1965-04-27,2020-09-02,165,1,1
DIEGO,COLEMAN,530980018.0,1347.0,22,1993.0,11.0,18.0,,D000346,CPS,1993-11-18,2022-03-02,346,1,1
JAMES,GONZALES,525591885.0,1339.0,41,1960.0,12.0,24.0,,D000338,CPS,1960-12-24,2020-08-11,338,1,0
ANGELA,TORRES,294720125.0,1159.0,55,1994.0,3.0,5.0,,D000158,CPS,1994-03-05,2020-11-23,158,1,0
HEATHER,SULLIVAN,425382470.0,1151.0,27,1986.0,6.0,11.0,,D000150,GPS,1986-06-11,2019-09-15,150,1,0
IVAN,HARDY,371350218.0,1178.0,4,1963.0,10.0,22.0,,D000177,CPS,1963-10-22,2019-04-09,177,0,1
JAMES,GARCIA,469121124.0,1086.0,37,1984.0,1.0,10.0,,V138702,GPS,1984-01-10,2020-07-08,85,0,1
HELEN,SMITH,312652421.0,1185.0,62,1977.0,6.0,23.0,,D000184,CPS,1977-06-23,2019-01-11,184,0,1
SEOJDN,ORTIZ,971435272.0,1148.0,5,1961.0,4.0,20.0,,V370821,GPS,1961-04-20,2022-04-09,147,1,1
HUI,ALVARADO,325541606.0,1011.0,8,2002.0,1.0,15.0,,D000010,GPS,2002-01-15,2021-08-25,10,0,0
CHRISTOPHER,MARTINEZ,647867015.0,1311.0,14,1971.0,11.0,15.0,,V623121,CPS,1971-11-15,2019-03-01,310,0,1
GABRIELA,JONES,143712360.0,1104.0,3,1990.0,9.0,16.0,,D000103,GPS,1990-09-16,2020-12-13,103,0,0
FENG,MARSHALL,347354354.0,1082.0,44,1983.0,12.0,23.0,,D000081,GPS,1983-12-23,2019-05-19,81,1,1
PATRICIA,WILLIAMS,225701671.0,1039.0,57,2000.0,10.0,19.0,,D000038,CPS,2000-10-19,2022-02-23,38,0,0
ELIZABETH,THOMAS,468225979.0,1315.0,47,1998.0,4.0,25.0,,D000314,CPS,1998-04-25,2020-05-08,314,0,1
IBRAHIM,COLEMAN,762306169.0,1168.0,46,1992.0,8.0,25.0,,D000167,GPS,1992-08-25,2018-08-24,167,0,1
AARAV,ROBERTSON,132258476.0,1040.0,50,1973.0,9.0,26.0,,V642883,CPS,1973-09-26,2022-03-27,39,1,1
JOHNNY,SMITH,487922134.0,1297.0,45,1974.0,8.0,20.0,,D000296,CPS,1974-08-20,2019-08-12,296,1,0
JQHN,PATEL,534366903.0,1103.0,11,1975.0,4.0,7.0,,V583299,GPS,1975-04-07,2021-08-18,102,0,1
ROBERT,FISHER,993776123.0,1199.0,31,2003.0,1.0,23.0,,D000198,CPS,2003-01-23,2020-09-03,198,1,1
HASSAN,ADAMS,769240328.0,1298.0,12,1966.0,5.0,13.0,,D000297,GPS,1966-05-13,2018-11-15,297,0,0
UI,HAYNES,422588018.0,1249.0,64,1996.0,1.0,22.0,,V641968,GPS,1996-01-22,2020-12-05,248,0,0
LINDA,ZHU,601241754.0,1147.0,41,1966.0,10.0,7.0,,D000146,CPS,1966-10-07,2019-11-25,146,1,0
JOSEPH,PETERSON,944221209.0,1041.0,42,1978.0,12.0,27.0,,V996097,CPS,1978-12-27,2018-03-27,40,1,0
SEOJUN,ORTIZ,971435272.0,1148.0,5,1961.0,4.0,20.0,,D000147,GPS,1961-04-20,2021-12-16,147,1,1
MARY,LEIWS,158977390.0,1050.0,8,1985.0,2.0,12.0,,V741753,GPS,1985-02-12,2018-12-12,49,1,0
HUI,MYERS,800809586.0,1288.0,54,1973.0,11.0,15.0,,D000287,GPS,1973-11-15,2018-05-21,287,0,1
RICHARD,WANG,658134357.0,1124.0,13,1970.0,8.0,2.0,,D000123,GPS,1970-08-02,2018-10-21,123,1,0
KATHERINE,WEBR,199984704.0,1080.0,42,1998.0,12.0,7.0,3.0,V401119,GPS,1998-12-07,2022-08-27,79,1,1
ELIZABETH,HOWE,400017235.0,1097.0,36,2002.0,7.0,13.0,,D000096,GPS,2002-07-13,2018-09-02,96,0,0
DONALD,WILSON,328837135.0,1144.0,1,2003.0,8.0,2.0,,D000143,GPS,2003-08-02,2020-12-12,143,1,0
MARY,SMITH,782580013.0,1240.0,19,1989.0,10.0,11.0,3.0,D000239,CPS,1989-10-11,2019-07-17,239,1,1
GONZALEZ,JENNIFER,640660526.0,1157.0,67,1978.0,2.0,10.0,,V153877,CPS,1978-02-10,2018-02-20,156,0,1
JAMES,MURPHY,305427587.0,1098.0,49,1997.0,10.0,28.0,,D000097,CPS,1997-10-28,2019-02-09,97,0,1
WANG,THUY,246584350.0,1329.0,27,1995.0,5.0,1.0,,V430051,CPS,1995-05-01,2018-09-13,328,0,0
JAMES,WILLIAMS,735636536.0,1123.0,9,1971.0,10.0,6.0,,D000122,GPS,1971-10-06,2019-08-25,122,0,0
MICHAEL,SINGH,634447493.0,1184.0,15,1972.0,11.0,25.0,,D000183,GPS,1972-11-25,2018-08-18,183,1,1
LISA,JONES,214218977.0,1203.0,11,1995.0,10.0,22.0,,D000202,CPS,1995-10-22,2020-04-27,202,0,0
ANDREW,CASTILLO,111222889.0,1247.0,21,1993.0,4.0,10.0,,D000246,GPS,1993-04-10,2021-01-23,246,1,1
SARAH,TAYLOR,665867466.0,1306.0,19,2003.0,8.0,1.0,,D000305,CPS,2003-08-01,2019-09-25,305,1,1
SAMANTHA,WOOD,510226362.0,1299.0,9,1961.0,11.0,24.0,,D000298,GPS,1961-11-24,2018-02-11,298,0,1
STEVEN,EDWARDNS,544586493.0,1133.0,38,1971.0,12.0,4.0,,V555232,GPS,1971-12-04,2021-02-23,132,1,0
MARK,HUANG,170297553.0,1165.0,11,1968.0,4.0,14.0,,V701722,GPS,1968-04-14,2018-11-13,164,1,1
MARY,JOHNSO,472623484.0,1161.0,50,1960.0,4.0,7.0,,V178963,CPS,1960-04-07,2019-09-26,160,1,1
DONALD,SMITH,804664116.0,1285.0,2,1970.0,1.0,27.0,,D000284,CPS,1970-01-27,2020-04-20,284,0,1
CHARLES,YANG,317475017.0,1126.0,6,1996.0,5.0,9.0,,D000125,CPS,1996-05-09,2020-10-08,125,1,0
JIWOO,BROOKS,824487016.0,1303.0,10,1985.0,7.0,6.0,,D000302,CPS,1985-07-06,2020-09-28,302,1,0
RICARDO,RAHMAN,116344489.0,1224.0,36,1993.0,1.0,20.0,,D000223,CPS,1993-01-20,2018-11-09,223,1,0
JOSEPH,ELLIS,737282111.0,1177.0,31,1994.0,8.0,17.0,,V616585,CPS,1994-08-17,2018-02-27,176,0,1
BARBARA,CAMPBELL,697258941.0,1220.0,5,1992.0,7.0,22.0,,D000219,CPS,1992-07-22,2020-11-16,219,1,0
KIMBERLY,SUN,631175844.0,1130.0,10,1978.0,11.0,4.0,,D000129,GPS,1978-11-04,2022-05-19,129,1,0
HUI,GUZMAN,618206595.0,1317.0,64,1983.0,9.0,3.0,,V364251,GPS,1983-09-03,2021-02-09,316,0,1
MARY,KEITA,729541123.0,1290.0,11,1982.0,6.0,19.0,,D000289,CPS,1982-06-19,2022-10-04,289,0,0
JNG,BFOWLER,,1113.0,33,1961.0,6.0,1.0,,V526585,GPS,1961-06-01,2021-07-02,112,1,1
SUSAN,GARCLNER,614258881.0,1312.0,65,1989.0,12.0,4.0,3.0,V569697,GPS,1989-12-04,2021-03-17,311,1,0
JAMES,FREEMAN,875079540.0,1292.0,63,1961.0,7.0,4.0,,D000291,GPS,1961-07-04,2022-01-01,291,0,0
ALEJANCLRO,SHAW,445001282.0,1170.0,38,1962.0,9.0,7.0,,V540338,CPS,1962-09-07,2019-11-25,169,0,1
ADAM,GUTIERREZ,102921184.0,1295.0,17,1990.0,11.0,9.0,,D000294,GPS,1990-11-09,2018-05-08,294,1,0
JIWUOO,BROOKS,824487016.0,1303.0,10,1985.0,7.0,6.0,,V274046,CPS,1985-07-06,2020-04-12,302,1,0
MARY,HERNANDEZ,625789174.0,1341.0,30,1994.0,5.0,11.0,,D000340,CPS,1994-05-11,2020-11-26,340,1,0
JING,FOWLER,224384834.0,1113.0,33,1961.0,6.0,1.0,,D000112,GPS,1961-06-01,2020-07-15,112,1,1
BRENDA,GONZALEZ,385437853.0,1180.0,43,1972.0,11.0,20.0,,D000179,CPS,1972-11-20,2021-12-07,179,1,1
CAROL,YANG,663992921.0,1308.0,62,1991.0,6.0,19.0,1.0,D000307,GPS,1991-06-19,2022-01-15,307,1,0
MARY,DAUVIS,189876229.0,1294.0,51,1985.0,12.0,14.0,,V386185,GPS,1985-12-14,2020-06-20,293,1,1
ROBERT,FISHER,993776123.0,1199.0,31,2003.0,1.0,23.0,,V628756,CPS,2003-01-23,2021-12-01,198,1,1
MARK,HVANG,170297553.0,1165.0,11,1968.0,4.0,14.0,,V835252,GPS,1968-04-14,2022-09-20,164,1,0
SMITH,KEVIN,286318487.0,1065.0,52,1981.0,4.0,18.0,,V260320,CPS,1981-04-18,2020-02-21,64,1,0
EMILY,PEREZ,649693119.0,1234.0,67,1999.0,9.0,11.0,,D000233,CPS,1999-09-11,2021-01-02,233,1,1
SUSAN,GARDNER,614258881.0,1312.0,65,1989.0,12.0,4.0,3.0,D000311,GPS,1989-12-04,2020-07-16,311,1,0
MARK,HUANG,170297553.0,1165.0,11,1968.0,4.0,14.0,,D000164,GPS,1968-04-14,2018-08-08,164,1,0
GRACE,KING,657207177.0,1137.0,17,1969.0,5.0,1.0,,D000136,GPS,1969-05-01,2020-12-12,136,1,0
DARNELL,JOHNSON,114921821.0,1198.0,27,1992.0,1.0,13.0,,D000197,GPS,1992-01-13,2019-01-15,197,1,0
JAMES,PERRY,521918045.0,1259.0,49,1984.0,5.0,8.0,,D000258,GPS,1984-05-08,2022-06-19,258,0,0
VALENTINA,WILLIAMS,657716182.0,1233.0,3,2004.0,6.0,19.0,,D000232,CPS,2004-06-19,2019-01-04,232,1,0
AMINA,PRICE,180838710.0,1116.0,27,1962.0,11.0,27.0,,D000115,GPS,1962-11-27,2022-12-27,115,1,1
KIMBERLY,THOMPSON,238200479.0,1121.0,9,1972.0,7.0,11.0,,D000120,CPS,1972-07-11,2021-01-06,120,1,1
MARY,YANG,215171485.0,1350.0,48,1982.0,12.0,13.0,,D000349,GPS,1982-12-13,2021-02-27,349,1,1
JENNIFER,BOYD,146720881.0,1225.0,23,1968.0,5.0,1.0,,D000224,GPS,1968-05-01,2018-08-09,224,0,1
ANDREA,MEHTA,901017511.0,1182.0,56,1977.0,5.0,21.0,,V690892,CPS,1977-05-21,2019-10-24,181,0,0
JAMES,VEGA,240634459.0,1227.0,12,1974.0,1.0,2.0,,V328599,CPS,1974-01-02,2022-06-19,226,1,1
WEI,MURPHY,612290845.0,1128.0,56,1993.0,1.0,13.0,3.0,D000127,GPS,1993-01-13,2022-05-20,127,1,0
RICHARD,WILLIAMS,612940436.0,1286.0,60,1961.0,1.0,7.0,2.0,D000285,GPS,1961-01-07,2020-05-06,285,1,0
BRENDA,GONAZLEZ,385437853.0,1180.0,43,1972.0,11.0,20.0,,V363733,CPS,1972-11-20,2019-12-04,179,1,1
JOHN,WALKER,740402237.0,1108.0,1,1990.0,10.0,22.0,,D000107,CPS,1990-10-22,2019-12-01,107,1,0
BRJUN,KANG,582580371.0,1208.0,11,1971.0,2.0,5.0,,V281538,GPS,1971-02-05,2022-02-27,207,0,0
TRANG,ZHOU,454696284.0,1326.0,49,1960.0,1.0,1.0,,D000325,GPS,1960-01-01,2018-12-18,325,0,0
YAN,WILSON,104267253.0,1134.0,65,1972.0,2.0,12.0,,D000133,CPS,1972-02-12,2019-07-16,133,1,0
WEI,ROBERTS,423685312.0,1261.0,35,1973.0,4.0,16.0,,V794868,CPS,1973-04-16,2018-11-20,260,0,0
DIANE,SMITH,364285450.0,1045.0,12,1975.0,4.0,25.0,,D000044,GPS,1975-04-25,2022-10-15,44,0,0
KARN,ALVAREZ,995665079.0,1141.0,8,1969.0,11.0,18.0,,V862658,CPS,1969-11-18,2018-02-18,140,0,0
SEOYEON,DAVIS,979427692.0,1066.0,3,1977.0,6.0,14.0,,D000065,GPS,1977-06-14,2019-07-07,65,0,1
MING,JACKSON,580548240.0,1284.0,21,1978.0,2.0,24.0,,D000283,GPS,1978-02-24,2022-07-17,283,1,0
JAMES,GARCIA,469121124.0,1086.0,13,1984.0,1.0,10.0,,D000085,GPS,1984-01-10,2020-04-17,85,0,1
PATRICIA,GONZALEZ,234806063.0,1243.0,36,1989.0,7.0,26.0,,D000242,CPS,1989-07-26,2022-06-03,242,0,1
HUI,NELSON,798773619.0,1187.0,30,1991.0,9.0,18.0,,D000186,CPS,1991-09-18,2022-01-09,186,0,1
JENNIFER,LOPFZ,321459950.0,1048.0,31,1997.0,11.0,26.0,,V991396,GPS,1997-11-26,2020-12-25,47,1,0
POOJA,WILLIAMS,563859228.0,1160.0,55,1983.0,3.0,10.0,,D000159,GPS,1983-03-10,2021-02-15,159,0,0
BRIAN,WILLIAMS,626515111.0,1013.0,17,1964.0,9.0,7.0,,D000012,GPS,1964-09-07,2019-11-11,12,0,0
ROBERT,PARK,561458857.0,1036.0,29,1963.0,9.0,6.0,,D000035,GPS,1963-09-06,2019-01-17,35,1,1
WEI,LEE,387504625.0,1029.0,5,1990.0,2.0,21.0,,D000028,GPS,1990-02-21,2019-07-19,28,1,1
JENNIFER,STONE,117130732.0,1171.0,4,1984.0,12.0,5.0,,D000170,CPS,1984-12-05,2019-08-17,170,1,1
JANICE,RAMOS,362019956.0,1143.0,62,2004.0,6.0,11.0,2.0,D000142,GPS,2004-06-11,2021-08-09,142,1,0
DIANE,MCGUIRE,992597028.0,1194.0,19,1987.0,3.0,5.0,,V727946,GPS,1987-03-05,2021-08-14,193,0,1
RACHEL,DAVIS,409435938.0,1343.0,63,1989.0,12.0,21.0,,D000342,CPS,1989-12-21,2018-07-21,342,1,1
LEI,PALMER,852620658.0,1222.0,42,1973.0,8.0,5.0,,D000221,GPS,1973-08-05,2020-12-02,221,0,1
DOROTHY,PATEL,714932521.0,1096.0,36,1964.0,8.0,9.0,,D000095,CPS,1964-08-09,2018-01-17,95,0,1
JAMES,DUNCAN,509606057.0,1052.0,26,1963.0,8.0,14.0,,D000051,GPS,1963-08-14,2022-11-16,51,1,0
TYLER,RILEY,745852511.0,1241.0,67,1964.0,7.0,5.0,,D000240,CPS,1964-07-05,2020-12-16,240,0,1
PATRICA,HARRIS,494547632.0,1016.0,21,1976.0,10.0,18.0,,V556359,CPS,1976-10-18,2022-06-14,15,0,0
RALJPH,WATTS,814927160.0,1191.0,1,1988.0,9.0,26.0,,V687366,CPS,1988-09-26,2018-09-14,190,1,1
KEITH,MARSHALL,764722347.0,1179.0,51,2000.0,6.0,22.0,,D000178,CPS,2000-06-22,2020-09-15,178,0,0
FATIMA,WILLIAMS,963797069.0,1042.0,27,1978.0,11.0,19.0,,D000041,CPS,1978-11-19,2020-06-20,41,0,0
AL,CHOI,136971183.0,1046.0,6,1982.0,4.0,22.0,,V282580,GPS,1982-04-22,2018-05-16,45,0,1
JIWOO,MARTINEZ,165921387.0,83585.0,14,1961.0,8.0,5.0,,D000310,CPS,1961-08-05,2020-11-26,350,0,1
MARY,LOPEZ,473541866.0,1207.0,27,1962.0,4.0,3.0,,D000206,CPS,1962-04-03,2019-05-18,206,0,1
MING,SMITH,758022378.0,1283.0,45,1996.0,7.0,17.0,,D000282,CPS,1996-07-17,2019-11-27,282,0,0
MING,DEAN,900690779.0,1255.0,28,1974.0,8.0,26.0,,D000254,GPS,1974-08-26,2022-07-20,254,1,1
MARE,SMITH,365279673.0,1218.0,45,1991.0,9.0,27.0,,V820069,CPS,1991-09-27,2020-12-21,217,0,1
MARY,ALLEN,259649073.0,1005.0,65,1987.0,11.0,27.0,,D000004,GPS,1987-11-27,2018-05-06,4,1,0
CATHERINE,MEYER,244012417.0,1257.0,38,1985.0,4.0,10.0,,D000256,CPS,1985-04-10,2019-10-18,256,1,1
HU,MYERS,800809586.0,1288.0,54,1973.0,11.0,15.0,,V675263,GPS,1973-11-15,2020-11-27,287,0,1
MARTHA,SMITH,322180923.0,1101.0,17,1983.0,2.0,8.0,,D000100,GPS,1983-02-08,2020-02-14,100,0,1
JAMES,VEGA,240634459.0,1227.0,12,1974.0,1.0,2.0,,D000226,CPS,1974-01-02,2022-01-22,226,1,1
FERNANDA,NELOSN,239897407.0,1006.0,17,1962.0,12.0,26.0,,V923792,CPS,1962-12-26,2020-07-09,5,1,0
ALEXANDER,BAILEY,145467726.0,1214.0,49,1967.0,10.0,19.0,,D000213,GPS,1967-10-19,2022-04-28,213,0,1
DANIEL,JACKSON,731890013.0,1172.0,63,1995.0,12.0,24.0,,D000171,CPS,1995-12-24,2018-04-26,171,0,0
MARY,SMITH,769549752.0,1099.0,17,1995.0,3.0,25.0,,D000098,GPS,1995-03-25,2018-01-07,98,1,0
CHIDI,SMITH,552592463.0,1293.0,58,1974.0,3.0,14.0,,D000292,GPS,1974-03-14,2019-05-16,292,0,1
JONATHAN,RAO,635110847.0,1216.0,21,1974.0,10.0,13.0,,D000215,CPS,1974-10-13,2018-03-20,215,1,1
HONG,KUMAR,908012975.0,1062.0,8,1997.0,9.0,12.0,,D000061,CPS,1997-09-12,2022-05-16,61,0,0
JENNIFER,LOPEZ,321459950.0,1048.0,31,1997.0,11.0,26.0,,D000047,GPS,1997-11-26,2019-11-26,47,1,0
LINDA,FERNANDEZ,387054250.0,1033.0,21,1997.0,5.0,16.0,,D000032,CPS,1997-05-16,2018-08-08,32,1,1
WEI,THOMAS,873084574.0,1268.0,27,1974.0,12.0,3.0,,D000267,CPS,1974-12-03,2021-08-14,267,1,0
BETTY,NGUYEN,217997823.0,1328.0,35,1960.0,1.0,23.0,,D000327,GPS,1960-01-23,2019-06-14,327,0,0
BENJAMIN,JEONG,626174950.0,1201.0,9,1987.0,2.0,18.0,,D000200,GPS,1987-02-18,2021-04-07,200,0,0
GAMES,HARRIS,868032513.0,1136.0,12,1984.0,4.0,10.0,,V874004,CPS,1984-04-10,2019-05-05,135,0,1
JAMES,RAMIREZ,605953660.0,1028.0,40,1980.0,11.0,1.0,,D000027,CPS,1980-11-01,2022-08-18,27,0,0
QARY,HERNANDEZ,625789174.0,1341.0,30,1994.0,5.0,11.0,,V297344,CPS,1994-05-11,2019-04-07,340,1,0
MARY,HILL,855127688.0,1231.0,57,1968.0,7.0,3.0,,D000230,CPS,1968-07-03,2022-08-09,230,1,0
WEI,ROBERTS,423685312.0,1261.0,35,1973.0,4.0,16.0,,D000260,CPS,1973-04-16,2018-01-01,260,0,0
SEOJUN,OWENS,913575961.0,1289.0,14,1996.0,5.0,5.0,,D000288,CPS,1996-05-05,2018-02-20,288,0,1
PATRICIA,SMITH,385872070.0,1163.0,32,1986.0,2.0,8.0,,D000162,GPS,1986-02-08,2022-07-10,162,1,0
JLNG,FOWLER,224384834.0,1113.0,33,1961.0,6.0,1.0,,V400689,GPS,1961-06-01,2021-07-26,112,1,1
SAMUEL,PHAM,246469137.0,1139.0,3,2004.0,7.0,18.0,,D000138,CPS,2004-07-18,2021-08-16,138,0,0
JIMIN,JOHNSON,728370752.0,1063.0,51,1971.0,3.0,14.0,,D000062,CPS,1971-03-14,2020-10-11,62,1,1
JAMES,HARRIS,868032513.0,1136.0,12,1984.0,4.0,10.0,,D000135,CPS,1984-04-10,2020-07-10,135,0,1
MARY,COOPER,307642858.0,1129.0,64,1983.0,3.0,9.0,,D000128,CPS,1983-03-09,2020-02-12,128,1,0
ROBERT,OKGNKWO,687498294.0,1282.0,50,1960.0,12.0,13.0,,V528655,GPS,1960-12-13,2020-07-15,281,1,0
MARY,TORRES,154564292.0,1009.0,34,1990.0,10.0,27.0,,D000008,CPS,1990-10-27,2020-10-21,8,1,1
ALEXANDER,ELLIOTT,792026019.0,1327.0,66,1995.0,4.0,27.0,,D000326,GPS,1995-04-27,2018-11-01,326,0,0
PHILLIPS,JAMES,907033334.0,1140.0,26,2004.0,9.0,3.0,,V729343,CPS,2004-09-03,2019-05-02,139,0,0
KEVIN,SMITH,286318487.0,1065.0,52,1981.0,4.0,18.0,,D000064,CPS,1981-04-18,2020-06-08,64,1,0
SAMANTHA,THOMPSON,981302170.0,1301.0,19,2001.0,7.0,13.0,,D000300,CPS,2001-07-13,2019-12-01,300,1,0
JESSICA,COX,671416979.0,1015.0,20,1969.0,5.0,5.0,,D000014,GPS,1969-05-05,2019-07-23,14,1,0
JENNIFER,GONZALEZ,640660526.0,1157.0,67,1978.0,2.0,10.0,,D000156,CPS,1978-02-10,2020-10-01,156,0,1
JOSEPH,PETERSON,944221209.0,1041.0,42,1978.0,12.0,27.0,,D000040,CPS,1978-12-27,2020-12-13,40,1,1
JQHN,MUNOZ,255649542.0,1190.0,51,1993.0,3.0,28.0,,V178605,GPS,1993-03-28,2020-06-02,189,0,0
GRACE,KING,657207177.0,1137.0,17,1969.0,5.0,1.0,,V296569,GPS,1969-05-01,2020-11-20,136,1,0
MARY,SMITH,769549752.0,1099.0,17,1995.0,3.0,25.0,,V579266,GPS,1995-03-25,2019-01-24,98,1,1
MARY,GRAHAM,218825745.0,1217.0,45,1968.0,4.0,16.0,,D000216,CPS,1968-04-16,2019-02-18,216,1,0
JOYCE,WEBB,179894979.0,1280.0,9,1973.0,6.0,2.0,,D000279,GPS,1973-06-02,2018-09-25,279,1,1
JOHN,WALKER,740402237.0,1108.0,1,1990.0,10.0,22.0,,V996853,CPS,1990-10-22,2021-02-02,107,1,0
ALEJANDRO,STAW,445001282.0,1170.0,38,1962.0,9.0,7.0,,V844965,CPS,1962-09-07,2022-10-18,169,0,1
NICHOLAS,ELLIS,189032054.0,1338.0,65,1969.0,8.0,14.0,,D000337,GPS,1969-08-14,2019-08-28,337,0,0
SARAH,JONES,579389314.0,1237.0,60,1963.0,12.0,21.0,2.0,D000236,GPS,1963-12-21,2018-11-05,236,1,0
ARJUN,KANG,582580371.0,1208.0,11,1971.0,2.0,5.0,,D000207,GPS,1971-02-05,2022-12-07,207,0,0
ROBERT,HOLMES,749450975.0,1213.0,49,1989.0,1.0,13.0,,D000212,CPS,1989-01-13,2020-08-05,212,1,1
KEISHA,SALAZAR,283957630.0,1296.0,62,1986.0,11.0,17.0,,D000295,GPS,1986-11-17,2018-04-20,295,0,1
BARBARA,CCAMPBELL,697258941.0,1220.0,5,1992.0,7.0,22.0,,V911647,CPS,1992-07-22,2019-12-15,219,1,0
DOUGLAS,KHAN,467165287.0,1252.0,50,1979.0,3.0,4.0,,D000251,CPS,1979-03-04,2018-07-11,251,0,0
PETER,BOYD,898813979.0,1305.0,19,1972.0,11.0,4.0,,V979323,GPS,1972-11-04,2019-02-18,304,0,1
MARHY,YANG,215171485.0,1350.0,48,1982.0,12.0,13.0,,V137859,GPS,1982-12-13,2020-05-27,349,1,1
DANIEL,DAVIS,938141670.0,1304.0,19,1984.0,12.0,27.0,3.0,D000303,GPS,1984-12-27,2020-06-04,303,1,0
TIM,WILLIAMS,811139806.0,1054.0,36,1980.0,8.0,6.0,,V551087,CPS,1980-08-06,2019-07-03,53,0,0
JAMES,SMITH,921324469.0,1270.0,47,1968.0,11.0,18.0,,D000269,GPS,1968-11-18,2018-08-04,269,0,1
LUCIA,WANG,449357407.0,1202.0,30,1969.0,3.0,4.0,,D000201,GPS,1969-03-04,2019-08-09,201,1,1
TERESA,MENSAH,672140202.0,1162.0,25,1995.0,8.0,28.0,,D000161,CPS,1995-08-28,2022-02-21,161,1,1
MICHAEL,GRAY,192702415.0,1044.0,35,1987.0,10.0,7.0,,D000043,GPS,1987-10-07,2021-08-02,43,1,1
MARY,SMITH,365279673.0,1218.0,45,1991.0,9.0,27.0,,D000217,CPS,1991-09-27,2018-06-07,217,0,1
JAMES,DUNCAN,509606057.0,1052.0,26,1963.0,8.0,14.0,,V830764,GPS,1963-08-14,2018-01-11,51,1,0
RALPH,WATTS,814927160.0,1191.0,1,1988.0,9.0,26.0,,D000190,CPS,1988-09-26,2021-03-06,190,1,1
MARY,PEREZ,413281529.0,1310.0,50,1999.0,10.0,23.0,,D000309,GPS,1999-10-23,2020-07-11,309,1,0
PAUL,RAMIREZ,234436740.0,1260.0,40,1961.0,4.0,23.0,,D000259,GPS,1961-04-23,2018-02-23,259,1,1
SANJAY,JONES,514692644.0,1106.0,5,1993.0,3.0,28.0,,D000105,CPS,1993-03-28,2022-11-03,105,0,0
